Codigo;Produto;Cod_Barra;Emb;Pack;Estoque;Pr_Custo;Pr_Venda;CodCategoria;Categoria;Pr_Promoc;Inic_Promo;Valid_Promo;UltAlt_PVenda
2;ENERGETICO RED BULL LATAO 473ML;9002490214166;PCT;12;1.625;14,17;16,35;80;ENERGETICOS;;;;06/12/2025
3;COQ. CATUABA SELVAGEM TRADIC 900mL;7896336802189;CX;12;5.477;11,43;13,7;30;CATUABA;12,9;02/06/2026;06/06/2026;15/10/2025
4;COQ.CATUABA FLOR DA SELVA 1000ML;7898422671716;CX;6;302;7,5;9,4;30;CATUABA;;;;09/08/2025
5;CACHACA TATUZINHO 600 ML;7896050200094;CX;24;-6;3,77;5,8;115;CACHAÇA;;;;03/04/2025
7;VINHO LIEBFRAUMILC BCO 750ml;7896010001655;CX;12;0;13;17,5;140;VINHOS;;;;08/08/2024
11;VODKA ABSOLUT APEACH 750ML;7312040070756;CX;12;0;58,9;70,65;150;VODKA;;;;10/02/2022
12;VINHO ALMADEM CAB SAUVIG SECO 750ml;7896756802660;CX;6;67;19,43;25,05;140;VINHOS;21;01/12/2022;05/12/2022;27/01/2023
14;VODKA SVAROV 1L;7897688503229;CX;6;0;18,66;21,95;150;VODKA;19,9;19/10/2019;26/10/2019;
15;VINHO GOES BCO SECO 900ML;7896266102038;CX;12;-4;13,92;16,55;140;VINHOS;;;;31/05/2024
19;VINHO ALMADEM CABERNET TTO SUAVE 750ml;7896756803780;CX;6;5;18,23;25,05;140;VINHOS;23,2;04/04/2023;08/04/2023;27/01/2023
20;VINHO ALMADEM SAUVIGNON BLANC 750ml;7896756802738;CX;6;-7;21,23;25,05;140;VINHOS;23,2;04/04/2023;08/04/2023;27/01/2023
22;SUCO DEL VALLE MISTO ABACAXI MACA 1L;7898164662669;CX;6;128;8,06;9,3;130;SUCO;;;;27/02/2026
23;AGUARD 51 200ML;78913189;CX;12;0;3,32;4,9;110;AGUARDENTES;;;;06/09/2019
24;VINHO STA HELENA CAB SAUVIGNO 750ml;7804300003234;CX;12;675;19,52;23,4;140;VINHOS;21,9;05/05/2026;09/05/2026;02/05/2025
25;VINHO PERGOLA TTO SECO 1LT;7896855901400;CX;12;2.497;18,58;21,5;140;VINHOS;18,95;29/05/2025;02/06/2025;24/03/2026
26;COROTE VELHOTE;7898941789015;CX;12;-2;1,4;1,7;60;COROTE;;;;04/02/2020
27;AGUARD VILA VELHA 600 ML S/V;7896273100126;CX;24;27.495;7,7;3,65;110;AGUARDENTES;;;;16/01/2026
30;VODKA ABSOLUT CITRON;7312040090105;CX;12;16;60,45;72,5;150;VODKA;;;;31/10/2024
32;VINHO DOM JOSE TAWNY 750 ML;5601109113025;CX;6;12;107,25;125,5;140;VINHOS;;;;28/06/2022
34;VINHO STA HELENA MALBEC TTO 750ml;7798081667481;CX;12;149;19,52;23,4;140;VINHOS;21,9;05/05/2026;09/05/2026;02/05/2025
35;VINHO RESERV CONCHA Y TORO CAB SAUVG 750ML;7804320116846;CX;12;370;19,45;25,08;140;VINHOS;23,9;03/02/2026;09/02/2026;16/07/2025
36;VINHO RESERV CONCHA Y TORO RESERV MERLOT 750ML;7804320148397;CX;12;269;19,45;25,08;140;VINHOS;23,9;03/02/2026;09/02/2026;16/07/2025
37;SALG BATATA VITA CHURRASCO 45 G C/20;7898931140437;CX;20;41.753;2,07;2,5;75;DOCES E SALGADOS;2,19;15/04/2026;20/04/2026;02/06/2026
38;RUM MALIBU 750ML;7891050004734;CX;12;1.435;45,79;49,9;24;RUM;43,9;02/06/2026;06/06/2026;31/01/2026
39;VINHO PORT PERIQUITA TTO 750ml;5601174204000;CX;6;317;45,45;53,4;140;VINHOS;49,9;07/10/2025;11/10/2025;31/07/2024
40;PALMITO PALMAR 500G;7898617400015;CX;12;286;15,84;18,85;76;TEMPEROS E CONDIMENTOS;16,9;22/04/2026;22/04/2026;03/03/2026
43;MUCURI 600ML;7898015650012;CX;12;-1;8,93;10,5;110;AGUARDENTES;;;;
44;AGUARD VELHO BARREIRO LIMAO 910ml;7896050200728;CX;6;8.407;14,8;21,9;110;AGUARDENTES;;;;03/04/2025
45;SWEET YELLOW 920ML;7898339110162;CX;6;-1;11,49;15;20;APERITIVO;;;;
46;VINHO MARCUS JAMES CAB.TT SECO;7730931130660;CX;6;0;19,98;23,5;140;VINHOS;;;;
47;AGUARD PIRASSUNUNGA 51 OURO 965ML;7896002110921;CX;12;842;17,9;21,5;110;AGUARDENTES;;;;02/10/2025
48;VELA VILA RICA N 8;7898474980033;PCT;24;0;3,7;3,75;70;DIVERSOS;;;;23/10/2019
50;APERITIVO FERNET THOQUINO C/V;7896022630003;CX;6;0;16,35;19,6;20;APERITIVO;;;;24/11/2021
51;VINHO MARCUS JAMES MERLOT TT SECO;7891141021374;CX;6;0;19,98;23,5;140;VINHOS;;;;
52;MEL ITAJAI DO SUL 1.25KG;7898634910047;CX;12;3.838;6,92;8,35;70;DIVERSOS;;;;24/03/2026
53;VINHO CANCAO TTO SUAVE 750ML;7896780900196;CX;12;0;8,33;9,8;140;VINHOS;;;;
54;SUCO SUFRESH GOIABA 1LT;7898192034636;CX;12;0;3,49;4;130;SUCO;;;;04/02/2020
55;CHOPP WIENBIER BLACK 56 710ML cx;7898099393935;PCT;1;0;74,4;82,2;41;CERVEJA LATA;;;;27/09/2019
56;VINHO SANGUE DE BOI TTO SUAVE 750ml;7891141004469;CX;6;142;10,95;13,5;140;VINHOS;11,9;28/03/2024;01/04/2024;02/12/2024
57;KIT AGUARD VELHO BARREIRO CAFE 910ML;7896050200971;CX;2;0;29,75;35;110;AGUARDENTES;;;;
60;CHAMP ESPUMA DE PRATA BCA S/ALCOOL;7896097720227;CX;12;-1;10,12;11,9;50;CHAMPANHE;;;;
62;BEB KEEP COOLER 275ML CITRUS;7891141022777;CX;24;-1;5,89;6,95;20;APERITIVO;;;;04/05/2023
63;APERITIVO TEQUILOKA GOLD 1L;7896731302093;CX;6;258;16,89;21,4;26;TEQUILA;;;;20/03/2025
64;VELHA DE JANUARIA 600 ML;7896695305222;CX;12;139;26,8;34,85;110;AGUARDENTES;;;;02/05/2024
67;SUCO SUFRESH UVA 1LT;7898192030072;CX;12;256;3,49;5,25;130;SUCO;4,3;09/08/2019;17/08/2019;12/05/2022
68;CACHACA DU BREJO CARVALHO 750ML;735201136042;CX;12;0;25,5;30,05;115;CACHAÇA;29,9;11/06/2025;14/06/2025;15/03/2023
69;CACHACA BUSCA VIDA 670 ML;7898911010002;CX;6;32;57,98;71,25;115;CACHAÇA;68,9;14/10/2025;18/10/2025;08/04/2025
70;WHISKY J W GOLD LABEL 750ml;5000267197630;CX;6;88;229,3;259,9;160;WHISKY;249;11/08/2022;15/08/2022;24/10/2023
73;CAIXA PARA PRESENTE;7897562700447;PCT;1;0;3,83;4,5;70;DIVERSOS;;;;
75;COROTE 61 500ml;7896547500089;CX;12;55.165;3,18;3,95;60;COROTE;3,39;27/05/2026;27/05/2026;12/02/2025
76;CHAMP ESPUMA DE PRATA BRANCA 660ML;7896097722016;CX;12;89;11,64;14,5;50;CHAMPANHE;;;;02/10/2025
80;SUCO PONCHITO FRUTAS CITRICAS;7897283400213;PCT;12;62.318;1,81;2,1;130;SUCO;1,75;16/09/2025;20/09/2025;07/05/2026
81;SUCO PONCHITO MARACUJA;7897283400244;PCT;12;23.179;1,81;2,1;130;SUCO;1,75;16/09/2025;20/09/2025;07/05/2026
83;CACHACA YPIOCA PRATA C/PALHA 965ML;7896383700698;CX;12;0;19,97;26,85;115;CACHAÇA;;;;03/07/2020
84;COQUETEL DUELO LIMAO 500ml;7896514701990;CX;12;11.939;2,49;3,05;60;COROTE;2,79;19/11/2025;19/11/2025;06/04/2024
85;COQUETEL DUELO DE AMENDOIM 500ml;7896514701549;CX;12;1.413;2,8;3,05;60;COROTE;;;;14/01/2026
86;COQUETEL DUELO DE PESSEGO 500ml;7896718200817;CX;12;9.476;2,8;3,05;60;COROTE;2,79;19/11/2025;19/11/2025;14/01/2026
87;COQUETEL DUELO DE MORANGO 500ml;7896718200770;CX;12;11.147;2,8;3,05;60;COROTE;2,79;19/11/2025;19/11/2025;14/01/2026
88;COQUETEL DUELO DE MARACUJA 500ml;7896514702010;CX;12;4.588;2,8;3,05;60;COROTE;2,79;19/11/2025;19/11/2025;14/01/2026
90;CHAMP CERESER UVA S ALCOOL 660ml;7896072922363;CX;12;41;14,9;17,9;50;CHAMPANHE;;;;18/11/2025
91;VINHO GOES TTO SECO 900 ML;7896266102014;CX;12;204;13,92;16,55;140;VINHOS;;;;31/05/2024
93;AGUARD ALAMBIQUE PRATA 700 ml;7896050200964;CX;6;-236;19,6;40,2;110;AGUARDENTES;13,9;21/06/2023;21/06/2023;30/04/2024
94;AGUA DE COCO DUCOCO 200ML;7896016601972;CX;27;-719;1,55;1,8;15;AGUA DE COCO;;;;18/05/2026
95;VINHO GOES TTO SUAVE 900 ML;7896266102021;CX;12;287;13,92;16,55;140;VINHOS;;;;31/05/2024
98;CHAMP ESPUMA DE PRATA ROSE 660ML;7896097722047;CX;12;271;11,64;14,5;50;CHAMPANHE;;;;02/10/2025
100;VINHO GOES BCO LICOROSO 900 ML;7896266102052;CX;12;10;13,92;16,55;140;VINHOS;;;;31/05/2024
